AT,V,AP,RH,PE
8,41,1011,90,480
24,58,1011,74,446
30,57,1007,42,439
19,50,1007,77,453
12,41,1017,97,464
14,39,1016,85,471
22,71,1008,75,442
14,42,1022,78,464
31,70,1010,37,429
7,38,1018,81,484
28,69,1006,70,435
23,47,1014,49,451
29,70,1011,61,426
8,37,1009,80,481
17,45,1017,59,460
23,64,1021,60,453
18,44,1013,47,462
11,45,1020,86,471
10,40,1019,69,474
24,41,1002,38,449
15,52,1015,77,465
34,65,1005,49,427
25,68,1011,71,442
7,41,1024,89,475
14,41,1019,75,467
6,36,1026,77,488
27,62,1012,72,439
8,41,1018,92,486
22,59,1012,64,452
27,67,1016,49,430
13,41,994,96,469
21,57,1012,84,443
8,36,1020,82,483
31,67,1015,45,434
32,71,1008,48,433
16,53,1024,58,459
23,71,1006,93,435
26,76,1018,63,443
8,40,1018,78,478
25,60,1018,60,445
29,69,1006,63,436
21,67,1009,84,447
18,45,1017,34,462
27,65,1015,47,442
16,65,1014,88,454
27,64,1010,65,437
16,40,1005,86,464
24,49,1002,67,441
8,42,1017,75,485
25,68,1009,69,445
21,70,1012,88,440
31,67,1014,33,431
18,44,1018,63,456
26,72,1003,86,433
31,69,1010,57,429
16,40,1006,90,465
8,42,1008,88,482
24,69,1012,73,437
16,40,1013,97,463
29,75,1003,74,432
24,61,1010,79,442
28,65,1015,43,441
16,41,1016,73,469
33,71,1009,57,432
32,68,1016,42,430
27,75,1002,72,438
5,41,1025,93,483
16,42,1023,67,462
18,51,1016,90,458
27,60,1004,73,438
26,66,1013,60,434
34,68,1003,56,427
19,69,1011,95,449
12,41,1021,77,476
10,41,1019,84,479
24,49,1010,44,447
30,66,1009,65,435
30,70,1009,67,442
30,67,1018,58,433
31,77,1009,73,430
16,51,1014,100,455
32,74,1004,68,431
29,62,1010,40,438
18,44,1012,78,465
16,39,1017,68,463
6,42,1005,78,483
23,73,1009,89,439
34,77,1009,64,431
7,44,1020,73,484
27,70,1009,65,432
26,55,1014,66,452
27,59,1014,66,439
15,43,1012,41,467
21,42,1013,49,460
25,58,1012,70,447
27,64,1013,61,442
19,52,1005,99,450
5,41,1025,97,481
31,71,1008,46,438
8,40,1024,88,476
15,58,1020,81,459
29,61,1011,56,437
23,62,1013,78,446
13,39,1013,75,474
9,41,1015,87,482
10,41,1018,85,480
30,77,1008,68,435
25,71,1008,93,435
30,70,1010,62,436
20,57,1020,77,454
21,47,1014,63,456
22,75,1009,86,443
20,64,1021,74,449
22,59,1017,74,446
9,37,1013,75,474
29,49,1004,53,436
23,70,1009,87,438
23,61,1019,71,439
21,59,1014,85,444
20,45,1009,75,459
15,44,1011,87,466
14,41,1025,73,459
23,71,1005,94,436
21,47,1007,64,449
23,58,1014,90,445
20,45,1014,38,454
21,44,1016,68,464
14,50,1009,87,466
14,45,1025,82,472
29,70,1004,68,428
14,36,1016,65,469
26,69,1009,79,434
18,61,1020,71,455
6,41,1021,91,490
8,40,1011,86,482
19,68,1004,84,444
16,44,1010,83,458
9,41,1023,99,472
20,67,1014,81,451
10,40,1019,68,470
6,40,1011,82,487
13,41,1016,83,473
24,62,1010,55,446
14,44,1022,83,467
28,57,1008,68,437
12,40,1012,79,471
15,43,1027,67,458
25,52,1006,70,448
10,41,1007,98,476
22,51,1007,90,443
10,40,1011,69,478
19,45,1017,48,459
21,45,1008,63,456
9,41,1025,96,474
10,44,1023,100,474
14,52,1012,85,464
17,44,1011,71,462
26,47,1015,64,454
17,46,1007,83,452
19,67,1013,71,453
13,41,1020,83,467
29,49,1004,54,436
16,53,1024,60,459
14,43,1012,57,471
14,40,1012,66,476
32,78,1015,61,433
21,57,1007,79,441
11,38,1009,100,473
19,41,1004,92,458
17,44,1018,67,462
25,51,1009,62,445
29,50,1006,48,436
13,41,1012,89,473
17,44,1015,62,465
19,59,1018,92,450
